BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
1000160	463	551	675	1060	1391	1887	2315	2830	3341	4161
1000190	2	3	4	7	9	12	15	19	22	28
1000200	1116	1330	1636	2581	3397	4627	5691	6984	8268	10338
1000210	331	402	504	825	1103	1525	1896	2333	2800	3539
1000220	316	384	483	791	1059	1467	1824	2246	2700	3418
1000270	1141	1359	1643	2409	2960	3682	4226	4845	5393	6252
1000280	127	152	186	277	344	433	500	577	646	753
1000330	1046	1186	1359	1818	2138	2553	2860	3213	3515	3997
1000340	530	620	735	1044	1270	1573	1805	2069	2309	2684
1000360	1081	1257	1479	2073	2494	3042	3454	3923	4337	4994
1000370	5432	6104	6916	9063	10564	12498	13930	15602	17001	19289
1000380	7	9	10	15	18	23	26	30	34	40
1000390	788	928	1108	1594	1947	2416	2774	3183	3553	4135
1000400	801	940	1118	1597	1943	2399	2744	3137	3489	4041
1000410	146	173	208	305	376	470	542	623	698	814
1000420	570	673	806	1167	1429	1776	2039	2338	2608	3029
1000430	827	978	1173	1698	2079	2584	2966	3403	3795	4409
1000440	2719	3152	3694	5138	6168	7517	8530	9698	10717	12342
1000470	829	977	1164	1669	2032	2511	2875	3290	3662	4248
1000530	3	4	5	8	10	13	15	18	21	24
1000540	16105	17665	19442	24206	27463	31683	34738	38410	41301	46134
1000560	793	941	1133	1654	2036	2549	2943	3393	3803	4446
1000580	15168	16583	18194	22525	25490	29344	32131	35488	38121	42526
1000590	29	35	43	65	82	104	121	140	158	186
1000610	158	190	233	348	431	539	620	710	792	919
1000640	2705	3116	3619	4946	5855	7001	7842	8805	9620	10944
1000730	310	362	429	607	731	889	1006	1138	1253	1434
1000740	4935	5509	6186	7964	9156	10672	11758	13033	14051	15721
1000760	huc12_data281	335	404	590	721	887	1011	1148	1270	1463
1000770	33	41	50	77	96	121	140	161	181	210
1000780	912	1045	1207	1634	1922	2287	2551	2852	3105	3508
1000800	1052	1182	1339	1750	2026	2379	2631	2922	3161	3541
1000830	1320	1580	1912	2803	3419	4201	4772	5418	5973	6851
1000860	184	229	289	457	580	743	867	1005	1131	1325
1000920	258	311	387	616	808	1088	1324	1601	1872	2295
1001030	1104	1312	1575	2290	2804	3485	4002	4593	5123	5956
1001090	1219	1449	1742	2529	3082	3797	4328	4931	5459	6291
1001140	246	300	371	567	711	902	1047	1211	1362	1595
1001150	1319	1582	1920	2836	3487	4332	4964	5682	6316	7315
1001160	244	305	396	672	897	1217	1499	1789	2100	2563
1001170	1363	1641	2034	3170	4044	5260	6308	7360	8475	10096
1001180	160	202	265	456	612	833	1026	1226	1439	1756
1001190	170	216	285	498	673	924	1146	1376	1623	1991
1001200	198	249	324	550	732	987	1210	1437	1679	2036
1001210	408	515	671	1153	1546	2107	2601	3110	3658	4473
1001230	228	283	363	598	781	1033	1250	1467	1698	2033
1001240	1319	1624	2064	3376	4410	5869	7134	8422	9800	11821
1001250	319	398	512	854	1124	1498	1821	2147	2495	3003
1001290	833	1024	1297	2102	2729	3601	4351	5109	5915	7090
1001300	822	1008	1274	2057	2665	3512	4241	4976	5758	6897
1001350	163	196	244	372	464	584	684	779	878	1017
1001360	931	1105	1346	2001	2470	3094	3611	4111	4633	5367
1001370	158	194	244	385	489	627	743	855	973	1141
1001380	2600	3070	3721	5521	6835	8620	10120	11589	13133	15325
1001650	1053	1216	1418	1910	2233	2643	2939	3227	3542	3928
1001660	684	816	983	1413	1707	2091	2376	2661	2967	3361
1001690	2162	2574	3108	4485	5433	6702	7639	8602	9634	10992
1001720	379	460	562	821	993	1215	1376	1537	1705	1921
1001740	1830	2187	2648	3822	4620	5680	6456	7250	8095	9202
1001750	165	201	246	360	437	534	606	675	748	840
1001800	18486	21887	26519	39496	48945	62041	72897	83706	95268	111555
1001810	212	252	302	421	498	592	660	723	790	870
1001820	979	1177	1441	2155	2667	3363	3883	4424	5002	5767
1001840	135	167	208	312	380	468	532	595	660	743
1001900	884	1055	1277	1830	2198	2675	3018	3364	3726	4191
1002160	1195	1451	1786	2711	3379	4306	5016	5762	6568	7665
1002170	585	718	887	1315	1597	1969	2243	2519	2808	3190
1002180	1262	1518	1849	2723	3332	4153	4768	5401	6081	6984
1002200	2502	3001	3638	5380	6646	8335	9627	11109	12447	14559
1002360	121	145	177	263	327	414	481	557	627	736
1002400	124	150	184	278	349	447	523	609	690	815
1002460	5615	6461	7493	10223	12114	14519	16298	18353	20092	22933
1002470	417	496	597	873	1071	1330	1526	1747	1948	2264
1002480	351	417	502	734	899	1113	1275	1457	1620	1878
1002490	323	384	463	677	830	1029	1180	1348	1500	1738
1002510	158	192	238	364	461	595	701	822	938	1116
1002530	366	444	546	829	1040	1324	1544	1793	2026	2389
1002540	1630	1942	2338	3414	4186	5196	5962	6835	7616	8856
1002550	491	591	721	1077	1336	1678	1941	2238	2511	2939
1002800	2468	2976	3629	5429	6761	8564	9959	11567	13039	15359
1002820	147	179	221	338	427	551	648	759	865	1028
1002830	2222	2659	3217	4743	5860	7361	8515	9842	11047	12946
1002860	185	225	279	428	540	693	811	944	1070	1263
1002870	238	288	354	534	664	835	965	1110	1244	1451
1002910	709	865	1069	1636	2053	2609	3036	3522	3968	4664
1002970	175	216	270	423	538	695	817	955	1086	1286
1002980	65	81	101	159	203	264	312	366	417	497
1002990	217	267	334	522	660	843	983	1140	1284	1505
1003010	131	161	200	309	388	492	572	660	741	867
1003070	271	337	430	721	969	1339	1659	2030	2423	3036
1003090	75	94	121	206	278	384	475	577	689	859
1003110	62	77	99	165	222	307	380	463	554	693
1003120	117	144	181	299	400	551	682	831	995	1245
1003130	3188	3725	4486	6607	8268	10639	12563	16128	17095	20600
1003240	305	379	487	823	1108	1534	1903	2357	2792	3510
1003280	28	35	47	84	115	163	204	252	305	387
1003290	7	8	11	20	27	39	50	63	78	102
1003460	438	533	671	1107	1491	2085	2616	3281	3954	5085
1003490	307	379	483	810	1094	1528	1911	2372	2855	3637
1003520	821	990	1235	1985	2629	3606	4461	5638	6584	8344
1003560	43	55	71	119	157	208	250	295	341	406
1003720	42	53	69	117	154	205	246	290	336	399
1003750	62	77	98	155	198	254	299	346	394	460
1003830	117	147	187	305	395	518	617	721	828	977
1003840	356	440	548	855	1079	1377	1610	1853	2100	2434
1003860	5843	6856	8098	11232	13292	15904	17798	19732	21585	23950
1003910	66	83	106	175	228	300	359	420	485	574
1003950	364	446	551	841	1047	1317	1526	1742	1958	2249
1003960	101	126	158	249	316	405	475	548	623	724
1003970	1570	1878	2259	3250	3922	4783	5426	6086	6732	7579
1003980	3734	4326	5023	6640	7629	8851	9726	10622	11457	12526
1003990	526	649	810	1269	1606	2055	2402	2763	3129	3621
1004010	267	331	413	647	817	1044	1221	1405	1592	1845
1004060	86	110	145	249	338	473	594	724	869	1071
1004070	261	329	428	721	967	1324	1639	1974	2343	2850
1004080	2133	2691	3527	5981	8020	10920	13509	16317	19436	23838
1004120	2440	3079	4038	6858	9198	12522	15490	18714	22297	27362
1004130	13980	17376	22487	37116	48980	65277	79805	95664	113173	138022
1004290	211	253	309	462	574	721	832	957	1071	1246
1004300	217	260	318	475	590	741	855	984	1101	1281
1004310	5406	6143	7042	9417	11081	13255	14859	16738	18308	20836
1004340	404	482	584	861	1067	1346	1560	1805	2031	2381
1004350	1539	1840	2208	3154	3793	4614	5233	5868	6495	7320
1004370	860	1045	1277	1905	2353	2943	3401	3876	4357	5002
1004390	912	1108	1356	2025	2501	3128	3611	4112	4617	5293
1004440	198	244	305	474	600	770	903	1043	1186	1379
1004450	460	556	675	985	1200	1480	1697	1920	2143	2441
1004460	132	164	205	322	408	524	616	712	811	946
1004500	105	131	165	265	340	441	522	606	692	810
1004510	356	437	540	824	1028	1295	1502	1716	1932	2222
1004520	179	222	278	438	556	713	837	966	1098	1277
1004540	490	598	736	1110	1375	1721	1986	2261	2536	2905
1004550	456	561	696	1074	1348	1711	1992	2285	2580	2978
1004580	394	475	579	868	1081	1368	1590	1841	2075	2440
1004590	406	489	597	894	1113	1408	1635	1894	2134	2509
1004710	225	265	316	456	559	699	806	929	1041	1215
1004720	205	241	288	415	509	637	735	847	950	1109
1004730	151	177	211	305	374	468	540	622	698	815
1004750	111	129	152	214	258	316	360	409	454	523
1004780	807	890	992	1264	1455	1703	1887	2098	2277	2564
1004790	71	83	98	139	168	206	235	267	296	342
1004800	425	488	567	777	924	1114	1255	1415	1555	1779
1004810	572	652	751	1013	1197	1432	1606	1804	1977	2252
1004850	3733	4328	5063	7004	8346	10047	11299	12738	13955	15926
1004860	280	329	394	566	687	842	958	1087	1202	1382
1004870	10612	12259	14255	19503	23077	27579	30854	34658	37787	42911
1004900	203	246	303	459	571	716	825	946	1055	1224
1004920	196	239	296	453	566	713	824	948	1060	1232
1005160	153	196	258	457	627	882	1104	1357	1636	2067
1005190	352	441	570	975	1322	1841	2293	2820	3380	4258
1005211	1975	2353	2890	4492	5830	7808	9481	11842	13498	16684
1005212	1975	2353	2891	4492	5831	7809	9483	11844	13500	16688
1005220	2216	2604	3152	4716	5966	7757	9223	11621	12648	15283
1005360	304	365	453	720	946	1281	1568	1928	2249	2791
1005370	10	13	16	28	37	52	66	81	98	124
1005380	93	112	141	232	311	429	533	654	786	993
1005390	2556	3036	3716	5667	7233	9487	11340	14293	15692	19059
1005400	179	216	269	432	568	771	944	1152	1352	1674
1005430	6002	6990	8372	12345	15575	20231	24026	29855	32870	39585
1005490	238	286	353	562	738	1000	1224	1492	1755	2174
1005500	232	278	343	543	712	961	1173	1432	1675	2071
1005590	412	501	617	938	1171	1482	1719	1988	2234	2619
1005641	2117	2488	2952	4189	5048	6152	6966	7895	8694	9966
1005642	2115	2486	2949	4185	5043	6146	6958	7887	8685	9955
1005660	96	116	144	218	272	342	395	454	508	591
1005680	4	5	6	9	12	16	19	23	26	32
1005750	4227	4808	5513	7354	8599	10185	11324	12649	13725	15454
1005790	192	229	279	414	510	635	729	834	928	1075
1005810	338	408	500	749	926	1156	1326	1517	1687	1949
1005820	620	749	917	1374	1697	2113	2422	2769	3075	3554
1005830	514	623	767	1158	1437	1797	2065	2367	2634	3051
1005900	416	521	661	1052	1334	1700	1973	2278	2551	2973
1005970	772	960	1208	1897	2388	3021	3492	4020	4488	5217
1005990	723	897	1125	1756	2203	2778	3203	3680	4102	4761
1006030	561	685	846	1285	1596	1993	2288	2619	2912	3372
1006050	280	341	419	634	786	980	1126	1287	1433	1661
1006060	2679	3227	3918	5785	7077	8714	9917	11281	12455	14328
1006290	133	171	225	398	546	767	960	1179	1421	1793
1006310	164	207	269	468	639	897	1123	1382	1670	2116
1006340	2291	2724	3339	5141	6621	8786	10597	13314	14910	18302
1006370	97	118	148	245	330	461	579	719	871	1117
1006440	480	580	723	1156	1521	2058	2515	3087	3597	4450
1006450	237	285	353	562	739	1003	1230	1516	1773	2209
1006460	2738	3237	3942	5947	7540	9821	11683	14758	16034	19379
1006480	1050	1258	1553	2447	3199	4314	5262	6500	7526	9319
1006550	240	288	356	559	727	969	1171	1409	1632	1980
1006600	402	478	585	907	1173	1559	1880	2280	2621	3187
1006610	184	222	276	442	581	784	957	1154	1356	1665
1006630	402	485	594	891	1106	1390	1607	1851	2074	2423
1006640	147	178	219	330	410	512	588	673	750	869
1006700	83	99	121	182	225	282	326	374	418	485
1006710	223	266	323	476	585	726	831	948	1053	1218
1006730	23779	26872	30492	39961	46307	54307	60046	66846	72213	81142
1006740	447	532	643	940	1151	1422	1623	1850	2050	2363
1006750	227	273	333	497	615	769	884	1013	1129	1309
1006790	467	567	699	1059	1315	1647	1894	2172	2419	2804
1006800	398	484	597	906	1127	1413	1626	1866	2079	2411
1006810	35	42	52	79	98	123	142	162	181	210
1006830	419	512	637	979	1226	1547	1788	2058	2300	2675
1006860	168	208	261	410	518	661	769	889	999	1168
1006950	387	473	589	906	1137	1440	1667	1924	2154	2510
1006960	358	438	545	839	1052	1332	1543	1780	1993	2323
1006970	188	229	283	434	544	689	799	922	1033	1204
1006990	174	212	263	405	508	644	747	862	967	1127
1007000	276	339	423	655	824	1047	1214	1402	1571	1832
1007010	2530	3020	3645	5323	6503	8017	9136	10413	11515	13263
1007020	2870	3437	4156	6083	7418	9106	10344	11750	12952	14871
1007150	586	730	940	1608	2193	3091	3888	4827	5866	7513
1007209	88	112	147	260	357	503	632	778	943	1198
1007260	77	98	128	224	305	425	528	644	772	966
1007300	227	275	345	561	747	1025	1265	1542	1840	2300
1007340	348	412	504	789	1034	1403	1723	2136	2504	3138
1007370	5948	7190	8953	14030	18106	24005	28876	36784	40457	49529
1007380	91	109	136	218	288	394	487	605	713	898
1007470	6754	8065	9905	15285	19698	26105	31392	38900	43789	53307
1007490	124	149	185	294	386	520	635	779	905	1119
1007510	126	152	189	304	404	551	680	826	985	1229
1007520	106	128	159	257	341	466	575	701	836	1046
1007540	929	1114	1379	2193	2893	3943	4849	5955	7035	8788
1007560	1167	1419	1778	2870	3793	5155	6311	7695	9039	11173
1007580	665	811	1019	1638	2142	2867	3468	4251	4851	5907
1007610	2537	2992	3629	5457	6922	9012	10712	13310	14631	17596
1007640	6445	7479	8724	11727	13652	16082	17842	19640	21348	23516
1007660	28	36	46	78	102	136	163	193	223	266
1007680	332	404	495	741	915	1144	1323	1508	1694	1945
1007690	6213	7337	8723	12309	14753	17913	20262	22671	25031	28080
1007700	6334	7488	8913	12613	15142	18418	20856	23358	25815	28993
1007860	117	147	191	319	427	587	728	876	1040	1264
1007880	101	121	148	223	278	352	409	473	534	628
1007900	249	300	367	551	687	870	1012	1172	1321	1553
1007910	289	348	426	640	799	1012	1177	1363	1538	1809
1007920	430	520	636	958	1196	1516	1763	2045	2306	2715
1007930	1709	2054	2498	3717	4612	5816	6744	7808	8780	10310
1007960	314	376	458	681	842	1053	1212	1391	1554	1807
1007980	201	234	277	392	473	578	657	745	825	949
1007990	8	9	11	16	19	23	26	30	33	38
1008010	721	831	971	1342	1603	1938	2187	2471	2718	3114
1008040	820	900	999	1263	1448	1691	1869	2075	2249	2527
1008050	886	1036	1225	1730	2083	2533	2868	3246	3578	4109
1008060	82	103	131	210	268	348	410	476	544	636
1008080	60	76	98	166	218	291	349	412	476	567
1008220	382	475	596	948	1207	1552	1818	2096	2377	2758
1008240	377	468	588	935	1190	1530	1793	2066	2343	2718
1008250	44	55	70	114	146	189	223	259	295	345
1008260	87	109	138	225	289	376	444	515	588	687
1008280	173	218	278	456	592	776	921	1074	1231	1446
1008340	383	471	585	904	1140	1457	1707	1968	2234	2594
1008350	208	257	320	494	623	797	936	1082	1232	1437
1008360	1357	1627	1960	2825	3425	4208	4810	5432	6053	6879
1008370	4723	5532	6509	8913	10481	12472	13934	15429	16871	18726
1008410	349	432	539	847	1076	1383	1623	1874	2130	2475
1008420	726	858	1021	1421	1681	2011	2253	2502	2741	3051
1008510	358	404	460	590	670	766	832	893	960	1036
1008560	1049	1206	1400	1916	2276	2740	3084	3476	3816	4360
1008580	5337	5992	6782	8873	10333	12218	13611	15240	16601	18828
1008590	527	617	734	1047	1272	1568	1791	2044	2271	2625
1008620	319	376	452	655	802	996	1144	1310	1461	1694
1008630	223	262	315	456	559	696	800	918	1025	1191
1008710	2092	2394	2763	3732	4393	5239	5854	6562	7154	8101
1008720	6616	7480	8505	11197	13014	15314	16977	18919	20497	23085
1008780	5194	5987	6954	9496	11228	13435	15035	16889	18421	20889
1008800	157	191	234	354	440	552	637	731	817	949
1008820	6917	7712	8641	11082	12717	14793	16278	18030	19418	21705
1008830	10	12	15	23	30	38	45	52	60	71
1008850	2342	2681	3098	4193	4943	5899	6594	7394	8061	9130
1008860	5935	6814	7876	10665	12554	14939	16667	18668	20314	22991
1008870	5935	6814	7876	10665	12555	14940	16668	18670	20315	22993
1008910	429	526	654	1007	1264	1600	1855	2141	2400	2803
1008930	725	873	1065	1588	1958	2435	2792	3193	3551	4114
1008940	2321	2729	3239	4596	5534	6726	7601	8598	9448	10805
1008950	681	822	1005	1504	1860	2320	2664	3052	3396	3937
1008960	424	513	629	945	1172	1468	1691	1940	2164	2514
1008970	1375	1630	1951	2809	3403	4155	4706	5331	5869	6724
1008990	307	375	463	708	886	1120	1300	1502	1689	1984
1009000	3	3	4	7	8	11	13	15	17	20
1009020	250	308	386	599	753	952	1101	1268	1417	1649
1009030	133	165	207	323	406	514	594	683	764	888
1009040	1386	1694	2092	3181	3951	4938	5673	6502	7234	8393
1009050	2516	3040	3705	5505	6753	8335	9499	10817	11954	13765
1009150	2210	2526	2915	3937	4636	5530	6179	6928	7552	8552
1009180	945	1097	1286	1788	2135	2577	2901	3269	3584	4086
1009190	251	299	361	529	647	799	912	1038	1150	1327
1009200	245	297	364	549	682	855	984	1130	1261	1465
1009240	31	40	53	92	123	167	202	240	280	336
1009250	114	143	182	299	387	506	601	700	802	942
1009260	2105	2518	3019	4304	5168	6272	7103	7956	8798	9908
1009290	396	488	605	931	1166	1477	1718	1969	2223	2566
1009300	217	270	340	539	688	886	1042	1206	1373	1601
1009310	629	766	936	1390	1707	2118	2435	2761	3089	3529
1009320	337	416	517	799	1003	1274	1486	1707	1931	2235
1009330	698	843	1021	1485	1800	2206	2516	2836	3154	3579
1009340	235	290	361	559	703	894	1044	1200	1359	1574
1009360	164	203	253	394	498	637	746	860	976	1133
1009390	3487	4108	4856	6710	7908	9413	10512	11635	12713	14104
1009400	99	125	159	259	336	439	522	608	698	821
1009410	154	193	245	400	517	677	804	938	1076	1265
1009420	685	843	1047	1619	2034	2583	3008	3449	3896	4498
1009479	1573	1826	2144	2997	3612	4420	5035	5739	6368	7372
1009489	832	963	1130	1576	1897	2317	2635	2998	3322	3837
1009519	233	271	319	449	543	666	759	864	960	1109
1009540	5	6	8	11	13	17	20	23	26	31
1009580	286	333	393	554	668	817	929	1056	1170	1350
1009590	725	847	1002	1419	1717	2106	2401	2735	3035	3510
1009610	1105	1318	1592	2347	2913	3689	4296	4995	5647	6671
1009640	295	347	413	595	731	915	1058	1221	1374	1612
1009670	307	369	450	675	843	1070	1246	1447	1634	1925
1009690	378	456	559	843	1057	1354	1586	1852	2103	2492
1009720	1135	1319	1546	2155	2587	3158	3588	4080	4516	5204
1009730	528	630	761	1119	1378	1726	1990	2291	2564	2988
1009740	133	163	204	317	403	519	609	710	806	952
1009760	440	529	644	957	1181	1472	1692	1939	2163	2515
1009780	173	210	259	393	492	624	725	840	946	1109
1009790	194	229	273	392	477	587	670	762	846	974
1009800	438	515	613	875	1061	1307	1490	1699	1884	2171
1009840	711	875	1086	1679	2110	2679	3120	3577	4040	4664
1009870	710	857	1048	1573	1959	2476	2874	3327	3743	4395
1010010	1085	1242	1439	1970	2363	2892	3300	3771	4199	4878
1010030	191	227	273	400	493	618	714	822	922	1075
1010040	138	163	196	285	349	435	499	572	638	740
1010090	736	888	1087	1636	2046	2606	3042	3541	4006	4728
1010100	1152	1325	1537	2106	2507	3040	3440	3899	4303	4937
1010110	354	422	512	758	939	1184	1373	1587	1785	2088
1010120	5	6	8	12	16	21	25	29	33	40
1010140	259	311	380	567	702	881	1017	1170	1310	1530
1010150	18	22	27	43	56	74	88	103	119	143
1010160	546	664	817	1239	1543	1943	2246	2588	2899	3385
1010190	795	988	1266	2095	2741	3643	4417	5200	6035	7251
1010200	509	645	845	1459	1953	2654	3263	3889	4561	5552
1010210	65	85	115	212	294	410	513	620	736	909
1010220	96	123	164	292	396	543	670	801	942	1149
1010230	510	632	805	1309	1690	2209	2646	3081	3540	4199
1010260	77	102	139	264	372	529	671	820	983	1229
1010280	214	276	368	659	900	1244	1546	1859	2196	2699
1010290	168	218	291	525	719	995	1238	1490	1762	2167
1010300	797	1015	1336	2339	3159	4334	5365	6433	7587	9301
1010310	103	136	187	354	498	711	902	1104	1325	1660
1010320	1687	2117	2741	4655	6187	8368	10267	12217	14319	17415
1010330	359	456	599	1039	1394	1896	2333	2781	3262	3973
1010400	2308	2742	3343	5008	6221	7864	9239	10585	12000	14005
1010420	1341	1589	1897	2672	3187	3843	4329	4826	5306	5931
1010440	111	138	174	279	358	466	552	643	737	866
1010450	230	285	357	561	713	918	1081	1252	1427	1666
1010460	193	239	298	466	590	757	890	1029	1171	1365
1010470	221	272	338	523	658	840	983	1132	1285	1491
1010480	288	340	404	556	653	777	870	965	1057	1177
1010500	127	156	193	297	373	475	556	640	726	843
1010510	430	521	635	935	1147	1424	1639	1861	2085	2384
1010520	351	432	536	827	1042	1330	1556	1793	2036	2364
1010550	662	798	977	1469	1823	2309	2679	3066	3480	4040
1010560	889	1074	1318	1988	2471	3138	3645	4179	4751	5528
1010600	1018	1214	1461	2078	2486	3018	3405	3794	4207	4742
1010610	1958	2347	2848	4186	5133	6421	7397	8403	9498	10952
1010630	1127	1272	1450	1924	2256	2690	3012	3383	3701	4209
1010640	1102	1248	1429	1907	2244	2681	3005	3378	3699	4212
1010650	1015	1165	1353	1852	2203	2657	2995	3382	3719	4257
1010690	156	205	279	521	728	1031	1302	1588	1900	2372
1010710	955	1203	1564	2668	3545	4783	5854	6947	8122	9845
1010720	1940	2437	3159	5370	7129	9628	11794	14013	16404	19916
1010769	1607	1984	2523	4119	5352	7071	8541	10024	11607	13904
1010860	160	210	287	538	754	1068	1350	1647	1970	2460
1010870	337	428	561	967	1291	1746	2140	2541	2970	3601
1010890	1557	1952	2524	4270	5653	7613	9309	11042	12906	15641
1010910	629	811	1082	1945	2661	3697	4612	5565	6601	8147
1010940	674	833	1040	1581	1949	2441	2805	3176	3565	4080
1010960	388	463	556	787	940	1132	1273	1408	1553	1731
1010970	251	302	366	527	635	773	875	973	1079	1209
1011060	181	232	299	480	605	773	899	1029	1162	1342
1011070	553	689	866	1334	1655	2086	2407	2735	3079	3537
1011080	210	266	339	535	671	853	989	1129	1273	1466
1011110	150	196	267	496	690	970	1219	1480	1763	2189
1011120	101	134	184	348	489	694	878	1072	1283	1601
1011131	496	639	851	1524	2080	2879	3582	4313	5105	6284
1011132	496	639	851	1524	2080	2879	3582	4312	5104	6283
1011141	6056	7237	8861	13401	16671	21117	24813	28425	32245	37629
1011142	6056	7236	8860	13400	16670	21116	24811	28422	32242	37626
1011160	6471	7721	9439	14231	17673	22351	26235	30027	34037	39682
1011190	223	293	397	740	1031	1456	1834	2233	2667	3321
1011221	1296	1624	2098	3529	4651	6227	7582	8957	10432	12584
1011222	1296	1623	2096	3526	4647	6221	7573	8947	10419	12567
1011251	5846	6990	8565	12975	16158	20489	24092	27616	31346	36606
1011271	214	277	373	679	934	1301	1624	1960	2324	2868
1011282	5888	7052	8658	13173	16447	20913	24636	28287	32153	37618
1011460	156	200	257	411	516	656	761	868	977	1125
1011500	126	147	172	229	263	303	330	354	380	409
1011510	1356	1625	1982	2939	3624	4550	5242	5958	6727	7739
1011560	135	174	225	365	461	591	688	787	889	1026
1011580	517	641	807	1278	1626	2108	2480	2871	3288	3855
1011659	3175	3682	4370	6190	7456	9140	10529	11854	13237	15159
1011670	56	73	97	175	239	330	411	495	584	719
1011690	1775	2129	2626	4044	5113	6586	7840	9089	10409	12309
1011710	643	789	998	1609	2083	2741	3305	3874	4477	5354
1011720	180	225	289	480	631	840	1020	1202	1395	1677
1011740	813	968	1183	1776	2207	2785	3268	3738	4229	4925
1011770	430	518	641	984	1240	1583	1873	2157	2455	2881
1011780	555	682	864	1402	1823	2409	2915	3426	3969	4763
1011790	856	1024	1260	1913	2392	3037	3578	4108	4663	5451
1011800	219	275	356	604	804	1086	1333	1586	1856	2256
1011830	698	849	1063	1683	2161	2821	3387	3955	4557	5430
1011840	187	234	304	518	693	940	1158	1382	1622	1979
1011850	1045	1261	1567	2443	3112	4036	4826	5616	6451	7659
1011870	1161	1397	1730	2684	3408	4407	5260	6111	7010	8309
1012020	268	327	413	659	847	1105	1325	1544	1775	2110
1012030	273	326	400	602	748	940	1100	1254	1415	1641
1012040	418	502	620	948	1191	1517	1792	2060	2341	2742
1012050	228	282	360	592	775	1029	1249	1472	1709	2056
1012080	272	332	420	673	869	1139	1371	1604	1850	2207
1012110	190	233	296	477	618	812	979	1147	1324	1581
1012130	324	399	506	820	1068	1412	1710	2011	2331	2799
1012140	219	272	349	580	766	1026	1254	1486	1733	2098
1012190	1403	1680	2073	3198	4062	5260	6291	7325	8419	10006
1012200	675	812	1007	1566	1996	2589	3098	3609	4147	4929
1012310	804	965	1188	1808	2261	2870	3380	3877	4399	5138
1012350	716	855	1049	1581	1968	2486	2918	3339	3779	4402
1012390	1178	1413	1744	2676	3373	4326	5134	5933	6774	7981
1012400	378	467	596	979	1281	1704	2071	2444	2840	3422
1012420	381	470	598	977	1275	1690	2050	2414	2801	3368
1012440	184	234	308	539	730	1000	1238	1485	1749	2143
1012450	5862	7064	8750	13649	17366	22563	27004	31458	36210	43068
1012480	1793	2212	2812	4605	6008	7982	9686	11417	13269	15975
1012550	741	931	1210	2067	2759	3746	4609	5498	6455	7870
1012580	239	310	417	760	1045	1456	1819	2197	2607	3220
1012620	115	149	200	359	489	672	832	996	1172	1432
1012650	4738	5672	6960	10569	13180	16729	19684	22576	25634	29951
1012719	27941	33797	42001	66379	85026	111576	134387	157492	182402	218496
1012750	259	336	452	822	1130	1575	1968	2377	2821	3484
1012772	315	408	547	994	1368	1907	2385	2883	3424	4234
1012781	450	574	757	1325	1786	2442	3013	3600	4233	5169
1012812	863	1070	1366	2243	2921	3861	4664	5471	6331	7579
1012860	2152	2598	3221	4983	6281	8048	9528	10986	12526	14717
1012900	1128	1386	1755	2837	3672	4830	5821	6818	7878	9416
1012920	246	312	408	705	946	1286	1583	1888	2215	2699
1012930	5759	6864	8396	12727	15920	20315	24021	27682	31562	37091
1012971	379	472	608	1017	1345	1806	2209	2620	3059	3707
1013221	206	254	316	490	617	785	916	1052	1191	1379
1013222	206	254	316	490	617	785	916	1052	1191	1379
1013281	1018	1234	1508	2252	2780	3474	4007	4559	5112	5849
1013282	1017	1234	1507	2250	2778	3472	4004	4556	5109	5845
1013350	429	525	648	987	1232	1556	1807	2069	2333	2688
1013370	91	113	143	233	308	413	503	594	693	823
1013410	468	585	739	1201	1575	2089	2524	2967	3444	4079
1013421	18938	23071	28691	44672	57087	73109	86758	101062	116304	137064
1013422	3	3	4	7	9	13	16	19	22	27
1013431	19034	23206	28878	45022	57561	73746	87533	101984	117384	138364
1013432	1	2	2	3	5	6	8	9	11	13
1013460	49	61	77	125	165	223	273	323	378	450
1013491	4463	5460	6779	10558	13513	17386	20637	23973	27498	32187
1013640	440	541	678	1071	1390	1829	2201	2580	2985	3518
1013850	704	878	1105	1789	2338	3083	3709	4348	5031	5942
1013980	3472	4044	4853	7083	8812	11265	13240	17029	17869	21426
1014020	276	346	447	768	1044	1462	1828	2262	2721	3453
1014100	179	221	284	484	660	931	1174	1476	1787	2308
1014110	137	173	226	393	538	757	950	1171	1419	1803
1014140	1674	2095	2659	4357	5719	7564	9136	10768	12528	14920
1014150	871	1096	1398	2315	3057	4077	4946	5848	6822	8144
1014160	74	93	119	199	265	361	444	529	622	746
1014200	2182	2694	3378	5377	6966	9096	10903	12766	14757	17431
1014240	646	804	1034	1723	2268	3034	3698	4373	5095	6154
1014250	83	108	146	271	379	535	676	825	986	1231
1014260	2269	2733	3385	5240	6627	8530	10139	11736	13425	15844
1014390	1	2	2	3	3	4	4	5	5	6
1014400	809	947	1138	1648	2014	2501	2906	3298	3705	4278
1014410	104	130	168	283	376	506	620	736	860	1043
1014430	817	967	1177	1758	2188	2770	3263	3747	4253	4977
1014440	173	210	262	410	522	674	803	931	1065	1258
1014470	32	39	51	86	117	162	202	248	299	378
1014480	94	116	149	250	335	460	568	689	821	1021
1014490	53	64	81	135	181	249	310	380	455	573
1014500	3566	4135	4940	7127	8801	11157	13036	16836	17423	20772
1014530	306	361	442	696	918	1258	1560	1944	2311	2935
