BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
2214330	268	321	395	589	723	895	1034	1165	1300	1487
2214350	950	1165	1474	2395	3123	4148	5041	5949	6919	8344
2214380	147	190	255	461	632	878	1094	1319	1562	1925
2214390	193	249	331	592	806	1113	1381	1660	1959	2406
2214400	263	338	449	798	1084	1494	1854	2226	2627	3225
2214420	581	713	899	1428	1821	2351	2794	3230	3688	4342
2214430	114	148	200	364	502	700	875	1058	1255	1550
2214440	363	453	583	974	1285	1720	2096	2480	2889	3489
2214450	153	194	254	437	584	788	965	1146	1338	1621
2214460	117	152	204	370	509	708	884	1068	1266	1564
2214490	11125	13111	15841	23484	29050	36720	43172	49517	56242	65778
2214500	267	336	436	742	990	1342	1650	1967	2306	2809
2214510	663	821	1048	1727	2263	3017	3671	4336	5046	6088
2214520	665	823	1051	1734	2276	3036	3696	4368	5086	6139
2214530	92	119	158	284	389	540	675	814	965	1191
2214560	249	312	406	693	927	1260	1554	1857	2183	2667
2214570	144	181	236	400	534	722	887	1056	1236	1504
2214580	558	695	895	1504	1998	2702	3322	3960	4646	5664
2214590	577	708	898	1457	1897	2512	3045	3585	4160	5003
2214610	1137	1372	1703	2653	3374	4368	5216	6062	6956	8247
2214620	1206	1451	1796	2779	3521	4539	5405	6267	7176	8485
2214630	1067	1288	1599	2491	3168	4100	4894	5686	6523	7731
2214660	395	501	657	1135	1518	2059	2529	3009	3525	4284
2214670	85	113	156	302	430	620	793	977	1180	1489
2214690	206	264	350	618	836	1144	1414	1691	1989	2429
2214700	202	262	352	640	881	1227	1533	1853	2199	2717
2214720	155	202	273	501	693	970	1217	1474	1754	2174
2214750	936	1178	1532	2615	3482	4710	5778	6872	8048	9780
2214760	473	585	747	1224	1599	2120	2569	3024	3507	4213
2214770	1312	1565	1918	2901	3624	4605	5430	6239	7090	8302
2214800	11080	13033	15710	23171	28576	36006	42242	48358	54833	63995
2214810	375	463	592	970	1267	1680	2035	2395	2776	3334
2214820	784	967	1231	2016	2634	3499	4247	5006	5817	7002
2214830	8	10	14	26	36	51	64	77	91	112
2214860	433	535	682	1119	1463	1944	2360	2782	3231	3889
2214880	295	368	473	786	1035	1382	1683	1988	2313	2790
2214890	197	247	321	545	726	980	1201	1427	1668	2025
2214910	272	339	436	731	968	1301	1592	1890	2208	2678
2214960	296	369	474	787	1035	1382	1681	1985	2309	2783
2214990	180	227	297	509	683	929	1144	1366	1604	1958
2215000	144	182	238	411	552	752	928	1109	1304	1593
2215020	399	499	645	1083	1429	1912	2328	2751	3201	3861
2215040	379	481	633	1105	1492	2043	2526	3026	3565	4366
2215050	116	149	199	354	482	666	827	993	1173	1440
2215060	312	399	528	930	1262	1737	2156	2590	3058	3756
2215120	216	277	368	656	894	1236	1537	1850	2187	2692
2215140	326	412	540	930	1246	1691	2078	2476	2902	3532
2215150	146	187	249	441	600	825	1024	1229	1450	1778
2215190	3698	4503	5648	9034	11661	15364	18559	21797	25262	30311
2215200	162	208	277	494	673	930	1155	1390	1642	2018
2215210	793	992	1280	2154	2851	3836	4691	5565	6503	7882
2215230	448	561	727	1232	1639	2214	2716	3230	3782	4597
2215250	1324	1633	2076	3396	4428	5878	7129	8398	9754	11736
2215260	172	218	285	491	657	892	1096	1305	1529	1860
2215270	402	505	654	1104	1463	1966	2401	2845	3320	4017
2215290	400	501	648	1090	1440	1930	2353	2784	3243	3917
2215300	808	1020	1333	2306	3103	4250	5262	6312	7446	9137
2215310	97	126	168	304	417	579	722	871	1031	1272
2215330	6	9	12	25	36	52	66	82	99	126
2215340	893	1081	1343	2074	2606	3318	3909	4485	5090	5945
2215360	924	1120	1394	2161	2722	3476	4102	4715	5359	6271
2215390	552	682	870	1433	1882	2516	3068	3633	4235	5124
2215400	372	459	586	961	1258	1673	2033	2399	2788	3358
2215410	655	811	1039	1726	2279	3064	3751	4457	5213	6332
2215420	642	795	1016	1682	2215	2971	3632	4309	5033	6103
2215440	1573	1911	2394	3815	4925	6483	7833	9201	10659	12791
2215460	338	422	545	920	1225	1657	2037	2428	2847	3469
2215470	439	547	704	1185	1574	2129	2616	3118	3656	4455
2215480	471	586	753	1263	1675	2261	2776	3305	3873	4714
2215510	5951	7178	8904	13932	17759	23119	27706	32315	37235	44346
2215560	1619	2001	2547	4166	5419	7168	8666	10177	11792	14137
2215750	1600	1975	2509	4088	5306	7001	8450	9910	11468	13726
2215860	391	485	620	1009	1303	1703	2039	2372	2724	3228
2215890	209	265	346	592	785	1053	1283	1515	1762	2123
2215900	292	378	507	919	1263	1758	2195	2651	3146	3885
2215950	23	31	42	81	113	161	202	246	293	364
2216000	117	151	196	317	401	513	598	684	772	892
2216050	21	28	39	75	107	152	192	235	281	351
2216070	305	387	506	871	1161	1566	1916	2272	2653	3211
2216190	627	809	1078	1938	2651	3681	4591	5538	6568	8105
2216200	149	184	233	372	474	608	718	825	937	1095
2216210	90	118	160	296	411	578	726	882	1050	1304
2216220	1105	1350	1697	2690	3432	4443	5292	6132	7020	8289
2216230	447	557	716	1185	1548	2049	2476	2905	3361	4022
2216240	1097	1341	1683	2664	3395	4389	5224	6049	6920	8165
2216260	569	721	943	1621	2161	2922	3580	4252	4972	6029
